鳥獣名,画像,元データ
カワウ,http://upload.wikimedia.org/wikipedia/commons/6/68/Phalacrocorax_carbo_Vic.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Phalacrocorax_carbo_Vic.jpg
ゴイサギ,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Black_Crowned_Night_Heron_Ottawa.jpg/640px-Black_Crowned_Night_Heron_Ottawa.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Black_Crowned_Night_Heron_Ottawa.jpg
アオサギ,http://upload.wikimedia.org/wikipedia/commons/2/23/Grey_Heron_Dec._20%2C_2012.JPG,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Grey_Heron_Dec._20,_2012.JPG
マガモ,http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Mallard02s1500.jpg/320px-Mallard02s1500.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Mallard02s1500.jpg
カルガモ,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Anas_zonorhyncha.jpg/300px-Anas_zonorhyncha.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Anas_zonorhyncha.jpg
コガモ,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Anas_crecca_carolinensis_%28Green-winged_Teal%29_male.jpg/320px-Anas_crecca_carolinensis_%28Green-winged_Teal%29_male.jpg,http://en.wikipedia.org/wiki/File:Anas_crecca_carolinensis_(Green-winged_Teal)_male.jpg
ヨシガモ,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Anas_falcata_male.JPG/320px-Anas_falcata_male.JPG,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Anas_falcata_male.JPG
ニホンザル,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Macaca_fuscata_fuscata1.jpg/360px-Macaca_fuscata_fuscata1.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Macaca_fuscata_fuscata1.jpg
ヌ−トリア,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Myocastor_coypus_standing.JPG/437px-Myocastor_coypus_standing.JPG,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Myocastor_coypus_standing.JPG
ニホンノウサギ,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Lepus_brachyurus_eating_grass.JPG/300px-Lepus_brachyurus_eating_grass.JPG,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Lepus_brachyurus_eating_grass.JPG
ツキノワグマ,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Ursusthibetanus.JPG/320px-Ursusthibetanus.JPG,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Ursusthibetanus.JPG
アライグマ,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Raccoon_%28Procyon_lotor%29_2.jpg/285px-Raccoon_%28Procyon_lotor%29_2.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Raccoon_(Procyon_lotor)_2.jpg
タヌキ,http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Tanuki01_960.jpg/320px-Tanuki01_960.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Tanuki01_960.jpg
イノシシ,http://upload.wikimedia.org/wikipedia/commons/f/f2/Zwijntje_lowpx.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Zwijntje_lowpx.jpg
ハクビシン,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Palm_civet_on_tree_%28detail%29.jpg/317px-Palm_civet_on_tree_%28detail%29.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Palm_civet_on_tree_(detail).jpg
アナグマ,http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Meles_meles_anakuma.jpg/480px-Meles_meles_anakuma.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Meles_meles_anakuma.jpg
ニホンジカ（オス）,http://upload.wikimedia.org/wikipedia/commons/c/c6/C.n.centralis.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:C.n.centralis.jpg
ニホンジカ（メス）,http://upload.wikimedia.org/wikipedia/commons/c/c6/C.n.centralis.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:C.n.centralis.jpg
